UIK,voters,voted mobile,voted stationary,Turnout,Video
393,1364,13,344,0.261730205278592,1
394,1080,7,274,0.260185185185185,1
395,1043,13,269,0.270373921380633,1
396,960,18,218,0.245833333333333,0
397,1437,23,380,0.28044537230341,1
398,1021,22,289,0.30460333006856,0
399,1469,47,399,0.30360789652825,1
400,971,2,278,0.288362512873326,0
401,1531,8,420,0.279555845852384,1
402,1526,5,425,0.281782437745741,1
403,1293,13,625,0.493426140757927,0
404,1399,5,389,0.281629735525375,1
405,1604,43,393,0.271820448877805,0
406,1691,12,354,0.216439976345358,1
407,1468,41,454,0.337193460490463,1
408,1637,6,489,0.302382406841784,1
409,1242,11,571,0.468599033816425,0
410,1311,4,286,0.221205186880244,1
411,1423,3,347,0.245959241040056,1
412,1150,5,281,0.248695652173913,1
413,1594,40,530,0.357590966122961,1
414,1584,23,423,0.281565656565657,1
415,1510,100,453,0.366225165562914,0
416,1545,36,414,0.29126213592233,1
417,1272,50,344,0.309748427672956,0
418,1778,70,494,0.317210348706412,1
419,1404,36,351,0.275641025641026,1
420,1460,84,683,0.525342465753425,1
421,1272,81,364,0.349842767295597,0
422,869,39,375,0.476409666283084,0
423,765,14,338,0.460130718954248,0
424,1556,46,507,0.355398457583548,1
425,1178,52,340,0.33276740237691,0
426,972,48,435,0.496913580246914,0
427,705,52,231,0.401418439716312,0
428,1672,136,279,0.248205741626794,1
429,1477,87,320,0.275558564658091,1
430,1642,133,409,0.330085261875761,1
431,777,12,313,0.418275418275418,1
432,1394,58,441,0.357962697274032,1
433,1719,85,446,0.308900523560209,1
434,1161,72,214,0.246339362618432,0
435,1251,24,743,0.613109512390088,0
436,1199,44,424,0.390325271059216,0
437,1497,113,366,0.31997327989312,1
438,321,26,114,0.43613707165109,0
439,268,46,62,0.402985074626866,0
440,957,30,383,0.431556948798328,0
441,362,33,111,0.397790055248619,0
442,1330,37,432,0.352631578947368,1
443,1367,116,403,0.37966349670812,1
444,1699,107,469,0.339022954679223,0
445,1302,19,487,0.38863287250384,1
446,810,16,268,0.350617283950617,0
447,1519,100,506,0.398946675444371,1
448,1702,43,509,0.324324324324324,1
449,238,75,72,0.617647058823529,0
450,212,31,60,0.429245283018868,0
451,831,21,468,0.588447653429603,0
452,966,76,315,0.404761904761905,0
453,984,24,330,0.359756097560976,0
454,1299,38,499,0.413394919168591,0
455,1575,89,702,0.502222222222222,1
456,1207,51,426,0.395194697597349,0
457,1463,12,510,0.356801093643199,0
458,297,0,124,0.417508417508417,0
459,1966,5,590,0.30264496439471,0
460,1467,0,1363,0.929107021131561,0
461,257,128,120,0.964980544747082,0
462,162,0,106,0.654320987654321,0
2006,1567,10,333,0.218889597957881,1
2859,1967,5,640,0.327910523640061,0
3732,973,3,262,0.272353545734841,0
3733,888,15,447,0.52027027027027,0
3734,763,5,166,0.224115334207077,0
3735,566,0,140,0.247349823321555,0
3736,611,45,165,0.343698854337152,0
3737,826,31,422,0.548426150121065,0
3738,1553,47,629,0.435286542176433,1
3739,1090,14,263,0.254128440366972,0
3740,918,9,446,0.495642701525054,0
3741,1241,11,302,0.252215954875101,0
3742,1623,4,364,0.226740603820086,0
3743,1513,61,689,0.495703899537343,1
3744,1704,17,434,0.264671361502347,1
3745,1350,35,429,0.343703703703704,0
3746,1610,57,433,0.304347826086957,0
3747,1867,6,440,0.23888591322978,1
464,2578,16,809,0.320015515903801,1
465,2423,40,685,0.299215848122163,1
466,2453,7,829,0.340807174887892,1
467,1699,11,536,0.321954090641554,1
468,1284,3,420,0.329439252336449,0
469,1207,11,398,0.338856669428335,1
470,1358,4,374,0.278350515463918,1
471,2595,10,793,0.309441233140655,1
472,2554,11,716,0.284651527016445,1
473,1840,3,523,0.285869565217391,1
474,1034,3,298,0.29110251450677,0
475,2701,3,638,0.237319511292114,1
476,1743,7,412,0.240390131956397,1
477,1372,10,385,0.287900874635569,1
478,2689,12,748,0.282632949051692,1
479,1848,11,505,0.279220779220779,1
480,2818,8,703,0.252306600425834,1
481,1422,2,398,0.281293952180028,1
482,2712,5,778,0.288716814159292,1
483,2944,13,789,0.27241847826087,1
484,2766,20,822,0.304410701373825,1
