UIK,voters,voted_mobile,voted_stationary,Turnout,Video
260,2221,38,643,0.306618640252139,1
261,1884,26,707,0.389065817409766,1
262,1539,19,542,0.364522417153996,1
263,1657,23,618,0.386843693421847,1
264,2456,40,604,0.262214983713355,1
265,1926,76,441,0.268431983385254,1
266,1904,30,607,0.334558823529412,0
267,958,42,286,0.342379958246347,0
268,2889,22,752,0.26791277258567,0
269,1540,33,352,0.25,0
1913,740,57,683,1,0
1914,1233,438,706,0.927818329278183,0
1915,928,701,194,0.964439655172414,0
271,1423,18,435,0.318341531974701,1
272,1675,7,549,0.331940298507463,1
273,1668,18,679,0.417865707434053,1
274,1454,6,530,0.368638239339752,1
275,1467,12,528,0.368098159509202,1
276,863,12,261,0.316338354577057,0
277,1855,4,611,0.331536388140162,1
278,1878,14,603,0.328541001064963,1
1916,31,0,30,0.967741935483871,0
1917,94,0,93,0.98936170212766,0
1918,22,0,22,1,0
280,1922,41,224,0.137877211238293,0
281,1035,81,159,0.231884057971014,0
282,637,10,90,0.156985871271586,0
283,798,6,84,0.112781954887218,1
284,1504,25,297,0.214095744680851,1
285,2133,16,524,0.253164556962025,1
286,1346,9,372,0.283060921248143,1
287,1469,7,340,0.236215112321307,1
288,1120,8,288,0.264285714285714,1
289,1284,17,375,0.305295950155763,1
290,1310,8,264,0.20763358778626,1
291,2115,10,371,0.180141843971631,0
292,1849,139,253,0.212006489994592,1
293,1176,25,321,0.29421768707483,1
294,1434,8,405,0.288005578800558,1
295,1804,23,464,0.269955654101996,1
296,1484,12,402,0.278975741239892,1
297,1934,20,519,0.278697001034126,1
298,1567,37,433,0.299936183790683,1
299,1819,10,514,0.28807036833425,1
300,1887,16,253,0.142554319024907,0
301,676,1,274,0.406804733727811,0
302,1784,25,477,0.281390134529148,1
303,1468,20,403,0.288147138964578,1
304,1566,14,168,0.116219667943806,1
305,2195,50,516,0.257858769931663,1
306,793,13,165,0.224464060529634,1
307,1576,23,389,0.261421319796954,1
308,1389,24,372,0.285097192224622,1
309,2193,23,472,0.225718194254446,1
310,1313,35,348,0.291698400609292,1
311,1618,25,382,0.251545117428925,0
312,857,26,155,0.21120186697783,0
313,1513,22,286,0.203569068076669,0
314,1465,27,293,0.218430034129693,0
315,1894,8,423,0.227560718057022,0
316,1078,13,235,0.230055658627087,1
317,1652,23,253,0.167070217917676,1
318,1312,31,225,0.195121951219512,1
319,1437,29,301,0.22964509394572,1
320,1537,18,275,0.190631099544567,1
321,1861,18,314,0.178398710370768,1
322,1459,28,256,0.194653872515422,1
323,1342,69,243,0.232488822652757,1
324,1072,8,182,0.177238805970149,0
325,1278,12,281,0.229264475743349,1
326,2241,20,636,0.29272646140116,1
327,2263,4,647,0.287671232876712,1
328,2146,176,524,0.32618825722274,0
329,1833,22,316,0.184397163120567,1
330,1371,22,264,0.208606856309263,0
331,2404,19,722,0.308236272878536,1
333,675,17,126,0.211851851851852,1
334,960,13,162,0.182291666666667,0
335,1220,14,249,0.215573770491803,0
336,1488,39,265,0.204301075268817,0
337,817,15,221,0.288861689106487,0
338,1389,7,253,0.187185025197984,1
339,2220,26,422,0.201801801801802,1
340,2431,18,508,0.216371863430687,1
341,2457,33,564,0.242979242979243,1
342,1379,5,236,0.174764321972444,1
343,1658,17,450,0.281664656212304,1
344,1928,23,543,0.29356846473029,1
345,1498,11,269,0.186915887850467,1
346,1340,19,426,0.332089552238806,1
347,1494,20,401,0.281793842034806,1
348,1347,5,366,0.275426874536006,1
349,1913,10,395,0.211709357030842,1
350,1540,6,341,0.225324675324675,1
351,1439,56,412,0.325225851285615,0
352,1912,7,364,0.194037656903766,1
353,1364,8,343,0.25733137829912,1
354,1152,21,356,0.327256944444444,1
355,2185,20,574,0.271853546910755,1
356,1845,23,458,0.26070460704607,1
357,1803,25,445,0.260676650027732,1
358,1051,13,322,0.318744053282588,1
359,2492,18,629,0.259630818619583,1
360,2026,43,430,0.233464955577493,1
361,1307,11,257,0.205049732211171,0
362,2665,16,525,0.203001876172608,1
363,2216,5,620,0.282039711191336,1
364,2304,21,569,0.256076388888889,1
365,2682,1,603,0.225205070842655,1
366,2568,19,513,0.207165109034268,1
367,1920,18,561,0.3015625,1
368,1414,21,396,0.294908062234795,1
369,2160,18,627,0.298611111111111,1
370,1460,14,421,0.297945205479452,1
371,2244,10,615,0.278520499108734,1
372,2372,11,668,0.286256323777403,1
373,2671,11,580,0.221265443654062,1
374,3040,16,670,0.225657894736842,1
375,2395,13,633,0.26972860125261,1
376,1703,27,431,0.268937169700528,0
377,1078,12,316,0.304267161410019,0
378,1422,27,466,0.346694796061885,0
379,2112,3,605,0.287878787878788,1
632,602,146,228,0.621262458471761,0
633,713,72,304,0.527349228611501,0
634,363,1,128,0.355371900826446,0
635,2421,74,533,0.250722841800909,1
636,443,9,95,0.234762979683973,0
637,1293,96,640,0.569218870843001,0
638,847,13,297,0.365997638724911,0
639,441,21,174,0.442176870748299,0
640,806,30,390,0.521091811414392,0
641,1583,46,666,0.449778900821226,1
642,279,2,103,0.376344086021505,0
643,1873,42,638,0.363053924185798,1
644,539,11,145,0.289424860853432,0
645,1767,16,470,0.275042444821732,0
646,425,17,85,0.24,0
647,440,0,85,0.193181818181818,0
648,1195,63,330,0.328870292887029,0
649,370,1,65,0.178378378378378,0
650,361,7,46,0.146814404432133,0
651,2434,14,481,0.203368940016434,1
652,2070,17,530,0.264251207729469,1
653,2534,49,552,0.237174427782163,1
654,1058,46,362,0.385633270321361,0
655,1015,19,424,0.436453201970443,0
656,183,1,56,0.311475409836066,0
657,208,14,69,0.399038461538462,0
658,271,9,136,0.535055350553506,0
659,191,6,99,0.549738219895288,0
660,919,73,362,0.473340587595212,0
664,1243,24,566,0.474658085277554,1
665,1324,19,633,0.492447129909366,1
666,1152,37,546,0.506076388888889,1
667,1136,18,526,0.47887323943662,1
668,1231,46,435,0.390739236393176,0
669,1313,59,454,0.390708301599391,1
670,1270,33,554,0.462204724409449,1
671,1244,48,477,0.422025723472669,1
672,2662,125,1150,0.478963185574756,1
673,1296,65,512,0.445216049382716,1
674,430,40,195,0.546511627906977,0
675,1055,40,377,0.395260663507109,1
676,1141,33,463,0.434706397896582,0
677,587,31,217,0.422487223168654,0
678,347,11,136,0.423631123919308,0
679,335,20,117,0.408955223880597,0
680,77,4,43,0.61038961038961,0
681,421,17,185,0.479809976247031,0
682,458,10,191,0.438864628820961,0
683,246,17,115,0.536585365853659,0
684,773,65,260,0.420439844760673,0
685,358,16,284,0.837988826815642,0
686,792,63,292,0.448232323232323,0
687,710,42,343,0.542253521126761,0
688,255,11,133,0.564705882352941,0
689,457,61,248,0.676148796498906,0
690,233,3,134,0.587982832618026,0
693,240,16,138,0.641666666666667,0
694,454,18,168,0.409691629955947,0
695,430,17,229,0.572093023255814,0
696,116,5,58,0.543103448275862,0
697,632,18,298,0.5,0
698,188,15,110,0.664893617021277,0
699,136,9,64,0.536764705882353,0
700,125,13,58,0.568,0
701,612,33,276,0.504901960784314,0
702,1012,43,363,0.401185770750988,1
703,996,44,381,0.426706827309237,1
704,1381,44,493,0.388848660391021,1
705,196,30,80,0.561224489795918,0
706,379,9,169,0.469656992084433,0
707,211,13,110,0.582938388625592,0
708,585,36,241,0.473504273504273,0
709,103,7,47,0.524271844660194,0
710,827,68,292,0.435308343409915,0
713,827,112,318,0.519951632406288,0
714,380,35,179,0.563157894736842,0
715,839,33,254,0.34207389749702,1
716,996,23,379,0.403614457831325,1
717,1056,36,399,0.411931818181818,1
718,665,24,215,0.359398496240601,0
719,756,68,258,0.431216931216931,1
720,1010,63,352,0.410891089108911,1
721,923,72,261,0.360780065005417,0
722,215,22,131,0.711627906976744,0
724,1806,47,583,0.348837209302326,1
725,2198,56,782,0.381255686988171,1
726,2063,49,689,0.357731459040233,1
727,1721,20,629,0.377106333527019,1
728,114,0,52,0.456140350877193,0
729,477,8,175,0.383647798742138,0
730,974,33,342,0.385010266940452,0
731,263,18,96,0.433460076045627,0
732,677,44,382,0.629246676514033,0
733,844,57,401,0.542654028436019,0
734,662,54,207,0.394259818731118,0
735,264,19,123,0.537878787878788,0
736,325,14,141,0.476923076923077,0
737,435,29,217,0.56551724137931,0
738,387,28,189,0.560723514211886,0
739,702,57,307,0.518518518518518,0
740,721,49,358,0.564493758668516,0
741,84,11,51,0.738095238095238,0
743,263,34,114,0.562737642585551,0
744,160,15,69,0.525,0
745,599,50,252,0.504173622704507,0
746,432,50,173,0.516203703703704,0
747,1060,131,258,0.366981132075472,1
748,454,28,101,0.284140969162996,0
749,2011,104,572,0.336151168572849,1
750,2642,69,826,0.338758516275549,1
751,559,76,188,0.472271914132379,0
752,244,38,95,0.545081967213115,0
753,1416,120,403,0.369350282485876,1
754,753,56,213,0.357237715803453,0
756,190,17,122,0.731578947368421,0
757,2307,132,834,0.418725617685306,1
758,1114,89,412,0.449730700179533,0
759,310,14,157,0.551612903225806,0
760,724,135,232,0.506906077348066,0
761,256,11,123,0.5234375,0
763,1908,126,685,0.425052410901468,1
764,2128,120,984,0.518796992481203,1
765,1650,72,635,0.428484848484848,1
766,132,10,85,0.71969696969697,0
767,729,41,377,0.573388203017833,0
768,458,86,187,0.596069868995633,0
769,899,88,415,0.559510567296997,1
770,291,11,184,0.670103092783505,0
771,1027,89,394,0.470301850048685,1
772,1352,81,627,0.523668639053254,0
773,854,119,334,0.530444964871194,0
774,590,68,432,0.847457627118644,0
775,451,27,237,0.585365853658537,0
776,1508,76,642,0.476127320954907,1
777,1076,62,384,0.414498141263941,1
779,323,25,128,0.473684210526316,0
